WKT,LINK_ID,PT_ADDR_ID,ADDRESS,DISP_LAT,DISP_LON,ST_NAME
POINT (34.84799 32.05234),834771714,725585484,47א,32.05248,34.84788,עמק האלה
POINT (34.84615 32.0513),834771714,725585483,27ב,32.05159,34.84591,עמק האלה
POINT (34.84816 32.05244),834771714,725585482,49א,32.05268,34.84798,עמק האלה
POINT (34.84712 32.05185),834771714,725585481,39ב,32.05209,34.84694,עמק האלה
POINT (34.80722 32.08264),835264168,725585480,13,32.08249,34.80722,המתמיד
POINT (34.80741 32.08264),835264168,725585479,11,32.08249,34.80743,המתמיד
POINT (34.84846 32.05441),883999343,725596889,53א,32.05486,34.84822,מנדס
POINT (34.82287 32.05622),834554861,243124874,30,32.05613,34.82292,מצדה
POINT (34.82262 32.05615),834554861,243124875,29,32.05627,34.82258,מצדה
POINT (34.82298 32.05625),834554861,243124873,33,32.05636,34.82294,מצדה
POINT (34.82281 32.0562),834554861,243124876,31,32.05632,34.82277,מצדה
POINT (34.83673 32.05056),834686754,725585475,2ג,32.05064,34.83678,הנציב
POINT (34.81366 32.09054),834717047,242923477,27,32.09067,34.81362,חרות
POINT (34.81386 32.0906),834717047,242923478,29,32.09071,34.81382,חרות
POINT (34.81347 32.09049),834717047,242923479,25,32.09061,34.81343,חרות
POINT (34.8134 32.09047),834717047,242923480,30,32.09038,34.81344,חרות
POINT (34.82496 32.07037),834912210,243107950,25,32.07045,34.82497,דרך נגבה
POINT (34.82513 32.07036),834912210,243107949,20,32.07022,34.82512,דרך נגבה
POINT (34.82166 32.05607),834557695,243124931,26,32.056,34.82166,מצדה
POINT (34.81327 32.09044),834717047,242923481,23,32.09057,34.81323,חרות
POINT (34.82099 32.05612),834557695,243124930,17,32.05623,34.82101,מצדה
POINT (34.82532 32.07035),834912210,243107946,22,32.07021,34.82531,דרך נגבה
POINT (34.82037 32.05622),834557695,243124929,11,32.05632,34.82041,מצדה
POINT (34.82452 32.07038),835004842,243107945,18,32.07023,34.82452,דרך נגבה
POINT (34.82041 32.0562),834557695,243124928,14,32.0561,34.82038,מצדה
POINT (34.82534 32.07035),834912210,243107948,29,32.07045,34.82535,דרך נגבה
POINT (34.82063 32.05616),834557695,243124927,16,32.05604,34.82061,מצדה
POINT (34.82513 32.07036),834912210,243107947,27,32.07046,34.82514,דרך נגבה
POINT (34.82175 32.05607),834557695,243124926,25,32.0562,34.82177,מצדה
POINT (34.82657 32.07027),883394386,243107942,32,32.07015,34.82657,דרך נגבה
POINT (34.81943 32.0565),834557695,243124925,4,32.05641,34.81939,מצדה
POINT (34.82654 32.07027),883394387,243107941,41,32.07036,34.82655,דרך נגבה
POINT (34.81964 32.05642),834557695,243124924,6,32.05629,34.81957,מצדה
POINT (34.82445 32.07038),835004842,243107944,23,32.07052,34.82446,דרך נגבה
POINT (34.8197 32.0564),834557695,243124923,7,32.05649,34.81975,מצדה
POINT (34.82613 32.0703),883394387,243107943,37,32.0704,34.82614,דרך נגבה
POINT (34.81367 32.09403),835022529,310670792,7,32.09418,34.81407,שושנים
POINT (34.81987 32.05635),834557695,243124922,9,32.05645,34.81991,מצדה
POINT (34.8236 32.07029),834543976,243107938,1,32.07027,34.82372,מבוא נגבה
POINT (34.81377 32.09384),835022529,310670791,9,32.09403,34.81426,שושנים
POINT (34.82121 32.0561),834557695,243124921,19,32.05621,34.82122,מצדה
POINT (34.81918 32.0566),834557695,243124920,1,32.05669,34.81923,מצדה
POINT (34.82634 32.07028),883394387,243107940,39,32.07038,34.82635,דרך נגבה
POINT (34.82157 32.05608),834557695,243124919,23,32.05621,34.82159,מצדה
POINT (34.82634 32.07028),883394387,243107939,30,32.07016,34.82633,דרך נגבה
POINT (34.80321 32.08671),838987574,725596922,13ב,32.08665,34.80334,תובל
POINT (34.83461 32.06941),834672711,725596925,26א,32.06894,34.83434,ההגנה
POINT (34.83447 32.06947),834672711,725596926,24א,32.06912,34.83427,ההגנה
POINT (34.83423 32.06956),834672711,725596927,13א,32.06968,34.83428,ההגנה
POINT (34.83612 32.04612),834516720,310689143,22,32.04597,34.83604,שדרות האורנים
POINT (34.82587 32.07031),834877588,243107924,26,32.07023,34.82586,דרך נגבה
POINT (34.83015 32.05881),834826713,242973265,8,32.05866,34.83008,הררי
POINT (34.83608 32.04613),834516720,310689142,31,32.04627,34.83616,שדרות האורנים
POINT (34.82592 32.07031),834877588,243107923,35,32.07042,34.82593,דרך נגבה
POINT (34.83015 32.05881),834826713,242973264,3,32.05895,34.83021,הררי
POINT (34.83593 32.04619),834516720,310689145,20,32.04605,34.83585,שדרות האורנים
POINT (34.82573 32.07032),834877588,243107922,33,32.07041,34.82574,דרך נגבה
POINT (34.831 32.05856),834826713,242973263,11,32.05879,34.8311,הררי
POINT (34.83573 32.04627),834516720,310689144,27,32.04641,34.8358,שדרות האורנים
POINT (34.82568 32.07033),834877588,243107921,24,32.07019,34.82567,דרך נגבה
POINT (34.83066 32.05866),834826713,242973262,7,32.0588,34.83072,הררי
POINT (34.83553 32.04635),834516720,310689147,25,32.04649,34.83561,שדרות האורנים
POINT (34.82554 32.07034),834877588,243107920,31,32.07044,34.82555,דרך נגבה
POINT (34.83085 32.0586),834826713,242973269,9,32.05875,34.83091,הררי
POINT (34.83589 32.04621),834516720,310689146,29,32.04635,34.83597,שדרות האורנים
POINT (34.83056 32.05869),834826713,242973268,10,32.05857,34.83051,הררי
POINT (34.82392 32.06995),835053069,243107919,15,32.0699,34.8239,מבוא נגבה
POINT (34.83044 32.05872),834826713,242973267,5,32.058839999999996,34.83049,הררי
POINT (34.8242 32.06989),835053069,243107918,11,32.06984,34.82418,מבוא נגבה
POINT (34.83096 32.05857),834826713,242973266,12,32.05842,34.8309,הררי
POINT (34.82406 32.06992),835053069,243107917,13,32.06987,34.82404,מבוא נגבה
POINT (34.82928 32.06774),834910400,725596899,9,32.06774,34.82937,קארו יוסף
POINT (34.82391 32.06996),835053069,243107916,7,32.07004,34.82393,מבוא נגבה
POINT (34.82381 32.06998),835053069,243107915,5,32.07006,34.82383,מבוא נגבה
POINT (34.82367 32.07001),835053069,243107914,17,32.0699,34.82364,מבוא נגבה
POINT (34.82344 32.06976),834593295,243107913,8,32.06973,34.82322,מבוא נגבה
POINT (34.82344 32.06976),834593295,243107912,10,32.06968,34.82336,מבוא נגבה
POINT (34.82062 32.05616),834557695,243124915,13,32.05628,34.82065,מצדה
POINT (34.81952 32.05647),834557695,243124916,5,32.05655,34.81957,מצדה
POINT (34.81979 32.05637),834557695,243124917,8,32.05627,34.81976,מצדה
POINT (34.83289 32.05799),834688037,242973278,21,32.05808,34.83293,הררי
POINT (34.81932 32.05654),834557695,243124918,3,32.05663,34.81937,מצדה
POINT (34.82127 32.0561),834557695,243124911,22,32.05598,34.82126,מצדה
POINT (34.82192 32.05605),834557695,243124912,28,32.056,34.82192,מצדה
POINT (34.82193 32.05605),834557695,243124913,27,32.0562,34.82195,מצדה
POINT (34.81926 32.05656),834557695,243124914,2,32.05648,34.81922,מצדה
POINT (34.8209 32.06852),835186142,310656659,22,32.06841,34.82087,שדרות השחרור
POINT (34.82083 32.05613),834557695,243124907,15,32.05624,34.82085,מצדה
POINT (34.82115 32.06653),835341572,725585432,116א,32.06659,34.82089,עוזיאל
POINT (34.82066 32.06857),835186142,310656658,20,32.06843,34.82062,שדרות השחרור
POINT (34.82083 32.05613),834557695,243124908,18,32.05605,34.82083,מצדה
POINT (34.82147 32.05609),834557695,243124909,24,32.05599,34.82147,מצדה
POINT (34.8214 32.05609),834557695,243124910,21,32.05621,34.82142,מצדה
POINT (34.82039 32.06863),835186142,310656663,18,32.0685,34.82035,שדרות השחרור
POINT (34.83314 32.05792),834688037,242973276,30,32.05782,34.8331,הררי
POINT (34.82131 32.06843),835186142,310656662,21,32.06857,34.82135,שדרות השחרור
POINT (34.82105 32.05612),834557695,243124904,20,32.056,34.821040000000004,מצדה
POINT (34.83272 32.05804),834688037,242973277,26,32.05793,34.83268,הררי
POINT (34.82026 32.06866),835186142,310656661,15,32.06884,34.82032,שדרות השחרור
POINT (34.82023 32.05625),834557695,243124905,12,32.05612,34.82019,מצדה
POINT (34.83293 32.05798),834688037,242973274,28,32.05787,34.83289,הררי
POINT (34.82088 32.06852),835186142,310656660,19,32.06863,34.82091,שדרות השחרור
POINT (34.82002 32.05631),834557695,243124906,10,32.05623,34.81999,מצדה
POINT (34.83307 32.05794),834688037,242973275,23,32.05803,34.83311,הררי
POINT (34.82078 32.057),835205203,242907633,14,32.05689,34.82075,יאיר
