WKT,LINK_ID,ST_NAME
"MULTILINESTRING ((34.84448 32.06475,34.8447 32.06483,34.84498 32.06495))",834386862,מחלף בר אילן
"MULTILINESTRING ((34.84626 32.07479,34.84636 32.07494,34.84646 32.07512,34.84653 32.07518))",834387732,סמטת יעקב
"MULTILINESTRING ((34.81406 32.0463,34.81405 32.04641,34.81407 32.04669,34.81418 32.04669,34.81419 32.04687))",834388624,
"MULTILINESTRING ((34.8243 32.04034,34.82489 32.04003,34.82507 32.03996,34.82521 32.03993,34.82546 32.03995,34.82571 32.04006,34.82583 32.04014,34.82592 32.04022,34.82599 32.04031,34.82606 32.04051,34.82606 32.04061,34.82602 32.04098,34.82603 32.04115,34.82609 32.04128,34.82617 32.04137,34.82628 32.04146,34.82653 32.04154,34.82678 32.04156,34.8269 32.04155,34.82713 32.0414,34.82747 32.04103,34.82754 32.04096))",834391570,
"MULTILINESTRING ((34.83485 32.05081,34.83476 32.05107,34.83488 32.05113,34.83496 32.05135))",834392082,
"MULTILINESTRING ((34.82312 32.10238,34.82321 32.1024,34.82328 32.10244,34.82329 32.10251,34.82328 32.10255))",834393870,
"MULTILINESTRING ((34.81229 32.09623,34.81252 32.0962,34.81285 32.09619,34.81308 32.0962,34.81331 32.09625,34.81349 32.09631,34.81374 32.09643,34.81398 32.09659,34.81436 32.09695))",834394663,
"MULTILINESTRING ((34.82581 32.10164,34.82594 32.10167,34.8261 32.1017,34.82626 32.10174,34.8263 32.10175))",834397306,
"MULTILINESTRING ((34.84988 32.07111,34.85 32.07159,34.84997 32.07167,34.84972 32.07174,34.84958 32.0718,34.84883 32.07222))",834398125,
"MULTILINESTRING ((34.84989 32.05349,34.84992 32.05358,34.84996 32.05366,34.85006 32.05377,34.85013 32.0539,34.85015 32.05406,34.85011 32.05439,34.85003 32.05452,34.84995 32.05458,34.84983 32.05449))",834399514,
"MULTILINESTRING ((34.83783 32.05207,34.8377 32.05215,34.83756 32.05224,34.83741 32.05235))",834400955,דרך שיבא
"MULTILINESTRING ((34.8388 32.06719,34.83893 32.06718,34.83913 32.06708,34.83923 32.06712,34.83934 32.06722,34.83953 32.06749,34.83965 32.06765))",834405640,
"MULTILINESTRING ((34.84306 32.06012,34.84226 32.06029,34.84122 32.06052))",834407045,העצמאות
"MULTILINESTRING ((34.84134 32.06558,34.84161 32.06559,34.84177 32.0656,34.84183 32.06563,34.84188 32.06569))",834407483,
"MULTILINESTRING ((34.83445 32.05101,34.83445 32.05103,34.83445 32.05116,34.83437 32.05139))",834407682,
"MULTILINESTRING ((34.8077 32.08396,34.80755 32.08434,34.80749 32.08446))",834408171,מקדונלד
"MULTILINESTRING ((34.84109 32.06621,34.84111 32.06627,34.84111 32.06657,34.84145 32.06657,34.84153 32.06657))",834408959,
"MULTILINESTRING ((34.83863 32.06945,34.83873 32.06964,34.83875 32.06971))",834411173,
"MULTILINESTRING ((34.83406 32.05548,34.83394 32.05557))",834411252,
"MULTILINESTRING ((34.84773 32.07345,34.84786 32.07348,34.84799 32.07351))",834411361,
"MULTILINESTRING ((34.82266 32.04555,34.82271 32.04555,34.82285 32.04557,34.82289 32.0456,34.82297 32.04576,34.82316 32.04587))",834411508,
"MULTILINESTRING ((34.82341 32.09878,34.82349 32.09883,34.8237 32.09887,34.82426 32.09878,34.82453 32.09878,34.82479 32.09881,34.82488 32.09884,34.82503 32.09888,34.82526 32.09899,34.82546 32.09913,34.82561 32.09927))",834412208,
"MULTILINESTRING ((34.8382 32.0697,34.83824 32.06978,34.83829 32.06986))",834414285,הרב לנדרס
"MULTILINESTRING ((34.84404 32.06597,34.84402 32.0661,34.84402 32.06656))",834415236,
"MULTILINESTRING ((34.8203 32.05268,34.8205 32.05276,34.82082 32.05282,34.82108 32.05301,34.82133 32.05315))",834415929,
"MULTILINESTRING ((34.82754 32.09946,34.8275 32.0996,34.82746 32.09973))",834417670,קניון איילון
"MULTILINESTRING ((34.84906 32.04864,34.84907 32.04868,34.84915 32.0491,34.84921 32.04914,34.84929 32.04918))",834419532,
"MULTILINESTRING ((34.82764 32.05951,34.82764 32.05956,34.82766 32.06003))",834421464,
"MULTILINESTRING ((34.82329 32.09861,34.82332 32.09869,34.82341 32.09878))",834421484,
"MULTILINESTRING ((34.84413 32.07243,34.84417 32.07239,34.84421 32.07238,34.84427 32.07239,34.84431 32.07243,34.84432 32.07247,34.8443 32.07252))",834424071,
"MULTILINESTRING ((34.83139 32.05222,34.83136 32.05214,34.83114 32.0522,34.83085 32.05227))",834428167,"שז""ר"
"MULTILINESTRING ((34.82696 32.10161,34.82696 32.10179))",834429526,
"MULTILINESTRING ((34.8188 32.07598,34.81889 32.07639,34.81896 32.07673,34.81905 32.07712))",834430103,דרך דוד בן גוריון
"MULTILINESTRING ((34.82496 32.09857,34.82573 32.0988,34.82598 32.09887))",834431344,
"MULTILINESTRING ((34.81574 32.0833,34.81568 32.08372,34.81566 32.08379))",834433762,
"MULTILINESTRING ((34.83875 32.06971,34.83884 32.0699,34.8389 32.07005,34.83904 32.07))",834437721,
"MULTILINESTRING ((34.84457 32.06798,34.8447 32.06798,34.84472 32.0681,34.84502 32.06807))",834438986,
"MULTILINESTRING ((34.82666 32.05265,34.82643 32.05268,34.82635 32.05269))",834439603,שדרות הצבי
"MULTILINESTRING ((34.83049 32.05699,34.83044 32.057,34.83036 32.05703,34.83032 32.05704))",834439646,שדרות בן צבי
"MULTILINESTRING ((34.84484 32.06656,34.84487 32.06686,34.84469 32.06688,34.84461 32.06688))",834440559,
"MULTILINESTRING ((34.83121 32.04308,34.83106 32.04287,34.83098 32.04286,34.83093 32.04289,34.83094 32.04344,34.83115 32.04344))",834440744,
"MULTILINESTRING ((34.84359 32.06673,34.84361 32.06681,34.84357 32.06697,34.84357 32.06701,34.84329 32.06705))",834441770,
